year,keyword_group,total_hits,sections_with_hits,sections_total,term_hits_json
2019,digitalisering,173,4,6,"{""digital"": 53, ""digitalisering"": 7, ""e-hälsa"": 16, ""teknik"": 62, ""välfärdsteknik"": 35}"
2019,jamlikhet,58,5,6,"{""jämlik"": 16, ""minoritet"": 11, ""ojämlik"": 1, ""tillgång"": 22, ""utsatt"": 8}"
2019,kontinuitet_samordning,19,4,6,"{""kontinuitet"": 8, ""sammanhållen"": 1, ""samordning"": 10}"
2019,personal_kompetens,192,5,6,"{""bemanning"": 12, ""kompetens"": 45, ""personal"": 95, ""sjuksköterska"": 2, ""undersköterska"": 1, ""utbildning"": 37}"
2019,prevention_rehabilitering,52,5,6,"{""funktionsförmåga"": 3, ""förebyggande"": 31, ""prevention"": 9, ""rehabilitering"": 9}"
2019,trygghet_sakerhet,277,6,6,"{""patientsäkerhet"": 25, ""risk"": 176, ""säkerhet"": 32, ""trygghet"": 44}"
2020,anhoriga,65,5,6,"{""anhörig"": 26, ""familj"": 6, ""närstående"": 33}"
2020,delaktighet,8,3,6,"{""delaktighet"": 4, ""individanpassad"": 1, ""personcentrerad"": 2, ""självbestämmande"": 1}"
2020,digitalisering,113,4,6,"{""digital"": 24, ""digitalisering"": 4, ""e-hälsa"": 8, ""teknik"": 54, ""välfärdsteknik"": 23}"
2020,jamlikhet,48,4,6,"{""jämlik"": 14, ""ojämlik"": 4, ""tillgång"": 28, ""utsatt"": 2}"
2020,kontinuitet_samordning,24,5,6,"{""kontinuitet"": 13, ""sammanhållen"": 3, ""samordning"": 8}"
2020,personal_kompetens,193,5,6,"{""bemanning"": 9, ""kompetens"": 37, ""personal"": 101, ""undersköterska"": 1, ""utbildning"": 45}"
2020,prevention_rehabilitering,52,5,6,"{""funktionsförmåga"": 1, ""förebyggande"": 31, ""prevention"": 5, ""rehabilitering"": 15}"
2020,trygghet_sakerhet,273,6,6,"{""avvikelse"": 1, ""patientsäkerhet"": 35, ""risk"": 177, ""säkerhet"": 42, ""trygghet"": 18}"
2021,anhoriga,86,4,4,"{""anhörig"": 55, ""familj"": 4, ""närstående"": 27}"
2021,delaktighet,10,3,4,"{""delaktighet"": 4, ""individanpassad"": 2, ""personcentrerad"": 4}"
2021,digitalisering,118,4,4,"{""digital"": 32, ""digitalisering"": 5, ""e-hälsa"": 9, ""teknik"": 46, ""välfärdsteknik"": 26}"
2021,jamlikhet,52,4,4,"{""jämlik"": 12, ""minoritet"": 6, ""ojämlik"": 7, ""tillgång"": 13, ""utsatt"": 14}"
2021,kontinuitet_samordning,37,4,4,"{""kontinuitet"": 26, ""samordning"": 11}"
2021,personal_kompetens,209,4,4,"{""bemanning"": 10, ""kompetens"": 41, ""personal"": 95, ""sjuksköterska"": 5, ""undersköterska"": 1, ""utbildning"": 57}"
2021,prevention_rehabilitering,29,3,4,"{""funktionsförmåga"": 3, ""förebyggande"": 14, ""prevention"": 7, ""rehabilitering"": 5}"
2021,trygghet_sakerhet,263,4,4,"{""patientsäkerhet"": 42, ""risk"": 147, ""säkerhet"": 49, ""trygghet"": 25}"
2022,anhoriga,73,4,4,"{""anhörig"": 38, ""familj"": 4, ""närstående"": 31}"
2022,delaktighet,13,3,4,"{""delaktighet"": 7, ""individanpassad"": 1, ""personcentrerad"": 5}"
2022,digitalisering,162,4,4,"{""digital"": 78, ""digitalisering"": 6, ""e-hälsa"": 8, ""teknik"": 50, ""välfärdsteknik"": 20}"
2022,jamlikhet,49,4,4,"{""jämlik"": 14, ""minoritet"": 13, ""ojämlik"": 6, ""tillgång"": 13, ""utsatt"": 3}"
2022,kontinuitet_samordning,46,4,4,"{""kontinuitet"": 28, ""sammanhållen"": 2, ""samordning"": 15, ""vårdkedja"": 1}"
2022,personal_kompetens,202,4,4,"{""bemanning"": 2, ""kompetens"": 31, ""personal"": 82, ""sjuksköterska"": 2, ""undersköterska"": 6, ""utbildning"": 79}"
2022,prevention_rehabilitering,28,3,4,"{""funktionsförmåga"": 5, ""förebyggande"": 10, ""prevention"": 8, ""rehabilitering"": 5}"
2022,trygghet_sakerhet,180,4,4,"{""patientsäkerhet"": 32, ""risk"": 90, ""säkerhet"": 42, ""trygghet"": 16}"
2023,anhoriga,88,6,7,"{""anhörig"": 48, ""familj"": 3, ""närstående"": 37}"
2023,delaktighet,7,3,7,"{""delaktighet"": 3, ""individanpassad"": 1, ""inflytande"": 1, ""personcentrerad"": 1, ""självbestämmande"": 1}"
