curated_chunk_id,curated_section_id,year,chunk_index,title,theme,source_type,original_start_pdf_page,original_end_pdf_page,word_count
CUR2008_S005_C001,CUR2008_S005,2008,1,Kommunens roll och ansvar för äldreomsorgen,ovrigt,legacy_title_located_in_original_report,15,27,851
CUR2008_S005_C002,CUR2008_S005,2008,2,Kommunens roll och ansvar för äldreomsorgen,ovrigt,legacy_title_located_in_original_report,15,27,851
CUR2008_S005_C003,CUR2008_S005,2008,3,Kommunens roll och ansvar för äldreomsorgen,ovrigt,legacy_title_located_in_original_report,15,27,851
CUR2008_S005_C004,CUR2008_S005,2008,4,Kommunens roll och ansvar för äldreomsorgen,ovrigt,legacy_title_located_in_original_report,15,27,504
CUR2008_S006_C001,CUR2008_S006,2008,1,Medicinskt stöd,ovrigt,legacy_title_located_in_original_report,28,28,549
CUR2008_S007_C001,CUR2008_S007,2008,1,Läkemedelsförskrivningar,lakemedel_och_patientsakerhet,legacy_title_located_in_original_report,29,29,216
CUR2008_S008_C001,CUR2008_S008,2008,1,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,29,29,216
CUR2008_S009_C001,CUR2008_S009,2008,1,Resultatindikatorer-social omsorg och service i särskilt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,29,47,842
CUR2008_S009_C002,CUR2008_S009,2008,2,Resultatindikatorer-social omsorg och service i särskilt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,29,47,833
CUR2008_S009_C003,CUR2008_S009,2008,3,Resultatindikatorer-social omsorg och service i särskilt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,29,47,859
CUR2008_S009_C004,CUR2008_S009,2008,4,Resultatindikatorer-social omsorg och service i särskilt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,29,47,857
CUR2008_S009_C005,CUR2008_S009,2008,5,Resultatindikatorer-social omsorg och service i särskilt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,29,47,852
CUR2008_S009_C006,CUR2008_S009,2008,6,Resultatindikatorer-social omsorg och service i särskilt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,29,47,636
CUR2008_S010_C001,CUR2008_S010,2008,1,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,854
CUR2008_S010_C002,CUR2008_S010,2008,2,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,851
CUR2008_S010_C003,CUR2008_S010,2008,3,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,857
CUR2008_S010_C004,CUR2008_S010,2008,4,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,905
CUR2008_S010_C005,CUR2008_S010,2008,5,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,886
CUR2008_S010_C006,CUR2008_S010,2008,6,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,859
CUR2008_S010_C007,CUR2008_S010,2008,7,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,858
CUR2008_S010_C008,CUR2008_S010,2008,8,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,855
CUR2008_S010_C009,CUR2008_S010,2008,9,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,850
CUR2008_S010_C010,CUR2008_S010,2008,10,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,860
CUR2008_S010_C011,CUR2008_S010,2008,11,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,862
CUR2008_S010_C012,CUR2008_S010,2008,12,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,855
CUR2008_S010_C013,CUR2008_S010,2008,13,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,851
CUR2008_S010_C014,CUR2008_S010,2008,14,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,843
CUR2008_S010_C015,CUR2008_S010,2008,15,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,777
CUR2008_S010_C016,CUR2008_S010,2008,16,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,594
CUR2008_S010_C017,CUR2008_S010,2008,17,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,526
CUR2008_S010_C018,CUR2008_S010,2008,18,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,740
CUR2008_S010_C019,CUR2008_S010,2008,19,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,528
CUR2008_S010_C020,CUR2008_S010,2008,20,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,536
CUR2008_S010_C021,CUR2008_S010,2008,21,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,686
CUR2008_S010_C022,CUR2008_S010,2008,22,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,626
CUR2008_S010_C023,CUR2008_S010,2008,23,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,514
CUR2008_S010_C024,CUR2008_S010,2008,24,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,670
CUR2008_S010_C025,CUR2008_S010,2008,25,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,689
CUR2008_S010_C026,CUR2008_S010,2008,26,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,484
CUR2008_S010_C027,CUR2008_S010,2008,27,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,544
CUR2008_S010_C028,CUR2008_S010,2008,28,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,695
CUR2008_S010_C029,CUR2008_S010,2008,29,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,581
CUR2008_S010_C030,CUR2008_S010,2008,30,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,577
CUR2008_S010_C031,CUR2008_S010,2008,31,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,707
CUR2008_S010_C032,CUR2008_S010,2008,32,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,630
CUR2008_S010_C033,CUR2008_S010,2008,33,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,525
CUR2008_S010_C034,CUR2008_S010,2008,34,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,642
CUR2008_S010_C035,CUR2008_S010,2008,35,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,720
CUR2008_S010_C036,CUR2008_S010,2008,36,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,609
CUR2008_S010_C037,CUR2008_S010,2008,37,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,638
CUR2008_S010_C038,CUR2008_S010,2008,38,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,712
CUR2008_S010_C039,CUR2008_S010,2008,39,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,557
CUR2008_S010_C040,CUR2008_S010,2008,40,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,567
CUR2008_S010_C041,CUR2008_S010,2008,41,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,704
CUR2008_S010_C042,CUR2008_S010,2008,42,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,681
CUR2008_S010_C043,CUR2008_S010,2008,43,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,687
CUR2008_S010_C044,CUR2008_S010,2008,44,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,985
CUR2008_S010_C045,CUR2008_S010,2008,45,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,855
CUR2008_S010_C046,CUR2008_S010,2008,46,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,502
CUR2008_S010_C047,CUR2008_S010,2008,47,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,942
CUR2008_S010_C048,CUR2008_S010,2008,48,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,984
CUR2008_S010_C049,CUR2008_S010,2008,49,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,600
CUR2008_S010_C050,CUR2008_S010,2008,50,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,757
