curated_section_id,year,section_index,title,theme,source_type,semantic_source_file,original_report_file,original_start_pdf_page,original_end_pdf_page,locate_method,word_count,text_path
CUR2010_S007,2010,7,De äldres omdöme om hemtjänst och säbo,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,source/Data_split/2010-De äldres omdöme om hemtjänst och säbo.pdf,source/2010-12-1.pdf,10,150,token_overlap_3_of_4,83364,data/corpus_2026/texts/curated_sections/2010/CUR2010_S007_de-aldres-omdome-om-hemtjanst-och-sabo.txt
CUR2011_S001,2011,1,Redovisning av indikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2011-Redovisning av indikatorer.pdf,source/2011-12-5.pdf,7,11,exact_near_page_start,1130,data/corpus_2026/texts/curated_sections/2011/CUR2011_S001_redovisning-av-indikatorer.txt
CUR2011_S002,2011,2,Tolkning av resultat och datakällor,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2011-Tolkning av resultat och datakällor.pdf,source/2011-12-5.pdf,12,168,token_overlap_3_of_3,102535,data/corpus_2026/texts/curated_sections/2011/CUR2011_S002_tolkning-av-resultat-och-datakallor.txt
CUR2012_S001,2012,1,Redovisning av indikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2012-Redovisning av indikatorer.pdf,source/2012-1-5.pdf,7,15,exact_near_page_start,2056,data/corpus_2026/texts/curated_sections/2012/CUR2012_S001_redovisning-av-indikatorer.txt
CUR2012_S002,2012,2,Tolkning av resultat och datakällor,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2012-Tolkning av resultat och datakällor.pdf,source/2012-1-5.pdf,16,160,exact_near_page_start,61243,data/corpus_2026/texts/curated_sections/2012/CUR2012_S002_tolkning-av-resultat-och-datakallor.txt
CUR2013_S001,2013,1,Äldres hälsa,ovrigt,legacy_title_located_in_original_report,source/Data_split/2013-Äldres hälsa.pdf,source/2013-1-3.pdf,7,7,exact_near_page_start,161,data/corpus_2026/texts/curated_sections/2013/CUR2013_S001_aldres-halsa.txt
CUR2013_S002,2013,2,Omsorg och social samvaro,brukarperspektiv_och_kvalitet,legacy_title_located_in_original_report,source/Data_split/2013-Omsorg och social samvaro.pdf,source/2013-1-3.pdf,8,8,exact_near_page_start,139,data/corpus_2026/texts/curated_sections/2013/CUR2013_S002_omsorg-och-social-samvaro.txt
CUR2013_S003,2013,3,Indikatorer i Öppna jämförelser,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2013-Indikatorer i Öppna jämförelser.pdf,source/2013-1-3.pdf,9,9,token_overlap_3_of_3,526,data/corpus_2026/texts/curated_sections/2013/CUR2013_S003_indikatorer-i-oppna-jamforelser.txt
CUR2013_S004,2013,4,Sammanhållen vård och omsorg,sammanhallen_vard_och_samverkan,legacy_title_located_in_original_report,source/Data_split/2013-Sammanhållen vård och omsorg.pdf,source/2013-1-3.pdf,9,44,exact_near_page_start,18193,data/corpus_2026/texts/curated_sections/2013/CUR2013_S004_sammanhallen-vard-och-omsorg.txt
CUR2013_S005,2013,5,Behovsbedömning och planering,ovrigt,legacy_title_located_in_original_report,source/Data_split/2013-Behovsbedömning och planering.pdf,source/2013-1-3.pdf,45,136,exact_near_page_start,46447,data/corpus_2026/texts/curated_sections/2013/CUR2013_S005_behovsbedomning-och-planering.txt
