report_id,year,source_file,pdf_page,word_count
R2008,2008,D:\Data\2008.pdf,22,77
R2008,2008,D:\Data\2008.pdf,23,143
R2008,2008,D:\Data\2008.pdf,24,210
R2008,2008,D:\Data\2008.pdf,25,234
R2008,2008,D:\Data\2008.pdf,26,202
R2008,2008,D:\Data\2008.pdf,27,125
R2008,2008,D:\Data\2008.pdf,28,547
R2008,2008,D:\Data\2008.pdf,29,214
R2008,2008,D:\Data\2008.pdf,30,377
R2008,2008,D:\Data\2008.pdf,31,258
R2008,2008,D:\Data\2008.pdf,32,168
R2008,2008,D:\Data\2008.pdf,33,263
R2008,2008,D:\Data\2008.pdf,34,457
R2008,2008,D:\Data\2008.pdf,35,177
R2008,2008,D:\Data\2008.pdf,36,39
R2008,2008,D:\Data\2008.pdf,37,383
R2008,2008,D:\Data\2008.pdf,38,44
R2008,2008,D:\Data\2008.pdf,39,272
R2008,2008,D:\Data\2008.pdf,40,45
R2008,2008,D:\Data\2008.pdf,41,292
R2008,2008,D:\Data\2008.pdf,42,103
R2008,2008,D:\Data\2008.pdf,43,422
R2008,2008,D:\Data\2008.pdf,44,335
R2008,2008,D:\Data\2008.pdf,45,56
R2008,2008,D:\Data\2008.pdf,46,340
R2008,2008,D:\Data\2008.pdf,47,102
R2008,2008,D:\Data\2008.pdf,48,446
R2008,2008,D:\Data\2008.pdf,49,46
R2008,2008,D:\Data\2008.pdf,50,257
R2008,2008,D:\Data\2008.pdf,51,447
R2008,2008,D:\Data\2008.pdf,52,48
R2008,2008,D:\Data\2008.pdf,53,324
R2008,2008,D:\Data\2008.pdf,54,170
R2008,2008,D:\Data\2008.pdf,55,53
R2008,2008,D:\Data\2008.pdf,56,392
R2008,2008,D:\Data\2008.pdf,57,341
R2008,2008,D:\Data\2008.pdf,58,61
R2008,2008,D:\Data\2008.pdf,59,305
R2008,2008,D:\Data\2008.pdf,60,54
R2008,2008,D:\Data\2008.pdf,61,278
R2008,2008,D:\Data\2008.pdf,62,61
R2008,2008,D:\Data\2008.pdf,63,232
R2008,2008,D:\Data\2008.pdf,64,449
R2008,2008,D:\Data\2008.pdf,65,56
R2008,2008,D:\Data\2008.pdf,66,326
R2008,2008,D:\Data\2008.pdf,67,53
R2008,2008,D:\Data\2008.pdf,68,318
R2008,2008,D:\Data\2008.pdf,69,57
R2008,2008,D:\Data\2008.pdf,70,273
R2008,2008,D:\Data\2008.pdf,71,431
R2008,2008,D:\Data\2008.pdf,72,39
R2008,2008,D:\Data\2008.pdf,73,399
R2008,2008,D:\Data\2008.pdf,74,101
R2008,2008,D:\Data\2008.pdf,75,212
R2008,2008,D:\Data\2008.pdf,76,94
R2008,2008,D:\Data\2008.pdf,77,216
R2008,2008,D:\Data\2008.pdf,78,93
R2008,2008,D:\Data\2008.pdf,79,353
R2008,2008,D:\Data\2008.pdf,80,47
R2008,2008,D:\Data\2008.pdf,81,236
R2008,2008,D:\Data\2008.pdf,82,50
R2008,2008,D:\Data\2008.pdf,83,224
R2008,2008,D:\Data\2008.pdf,84,379
R2008,2008,D:\Data\2008.pdf,85,57
R2008,2008,D:\Data\2008.pdf,86,300
R2008,2008,D:\Data\2008.pdf,87,157
R2008,2008,D:\Data\2008.pdf,88,318
R2008,2008,D:\Data\2008.pdf,89,109
R2008,2008,D:\Data\2008.pdf,90,147
R2008,2008,D:\Data\2008.pdf,91,168
R2008,2008,D:\Data\2008.pdf,92,186
R2008,2008,D:\Data\2008.pdf,93,193
R2008,2008,D:\Data\2008.pdf,94,176
R2008,2008,D:\Data\2008.pdf,95,126
R2008,2008,D:\Data\2008.pdf,96,36
R2008,2008,D:\Data\2008.pdf,97,276
R2008,2008,D:\Data\2008.pdf,98,345
R2008,2008,D:\Data\2008.pdf,99,346
R2008,2008,D:\Data\2008.pdf,100,332
R2008,2008,D:\Data\2008.pdf,101,365
R2008,2008,D:\Data\2008.pdf,102,358
R2008,2008,D:\Data\2008.pdf,103,353
R2008,2008,D:\Data\2008.pdf,104,43
R2008,2008,D:\Data\2008.pdf,105,243
R2008,2008,D:\Data\2008.pdf,106,844
R2008,2008,D:\Data\2008.pdf,107,849
R2008,2008,D:\Data\2008.pdf,108,944
R2008,2008,D:\Data\2008.pdf,109,949
R2008,2008,D:\Data\2008.pdf,110,833
R2008,2008,D:\Data\2008.pdf,111,833
R2008,2008,D:\Data\2008.pdf,112,929
R2008,2008,D:\Data\2008.pdf,113,938
R2008,2008,D:\Data\2008.pdf,114,894
R2008,2008,D:\Data\2008.pdf,115,894
R2008,2008,D:\Data\2008.pdf,116,976
R2008,2008,D:\Data\2008.pdf,117,985
R2008,2008,D:\Data\2008.pdf,118,897
R2008,2008,D:\Data\2008.pdf,119,897
R2008,2008,D:\Data\2008.pdf,120,376
R2008,2008,D:\Data\2008.pdf,121,376
R2008,2008,D:\Data\2008.pdf,122,1184
R2008,2008,D:\Data\2008.pdf,123,1185
R2008,2008,D:\Data\2008.pdf,124,1193
R2008,2008,D:\Data\2008.pdf,125,1193
R2008,2008,D:\Data\2008.pdf,126,1200
R2008,2008,D:\Data\2008.pdf,127,1200
R2008,2008,D:\Data\2008.pdf,128,1188
R2008,2008,D:\Data\2008.pdf,129,1188
R2008,2008,D:\Data\2008.pdf,130,1145
R2008,2008,D:\Data\2008.pdf,131,1145
R2008,2008,D:\Data\2008.pdf,132,1138
R2008,2008,D:\Data\2008.pdf,133,1139
R2008,2008,D:\Data\2008.pdf,134,1183
R2008,2008,D:\Data\2008.pdf,135,1183
R2008,2008,D:\Data\2008.pdf,136,482
R2008,2008,D:\Data\2008.pdf,137,482
R2008,2008,D:\Data\2008.pdf,138,1235
